Id	Predicted_Categories
2.0	Politics
10.0	Film
25.0	Film
28.0	Politics
29.0	Business
33.0	Politics
34.0	Politics
37.0	Politics
39.0	Politics
40.0	Politics
44.0	Politics
56.0	Politics
66.0	Film
75.0	Politics
77.0	Politics
85.0	Politics
89.0	Business
92.0	Business
107.0	Business
112.0	Film
115.0	Film
139.0	Business
140.0	Football
152.0	Business
156.0	Film
162.0	Business
167.0	Politics
170.0	Business
171.0	Technology
173.0	Politics
182.0	Technology
186.0	Football
193.0	Film
196.0	Politics
210.0	Business
218.0	Football
224.0	Technology
227.0	Technology
230.0	Politics
232.0	Football
247.0	Football
262.0	Football
273.0	Football
276.0	Business
279.0	Football
284.0	Business
286.0	Football
287.0	Politics
305.0	Technology
316.0	Business
337.0	Business
342.0	Business
349.0	Film
357.0	Film
363.0	Politics
367.0	Business
368.0	Film
374.0	Business
377.0	Film
385.0	Film
395.0	Film
401.0	Film
417.0	Film
422.0	Film
427.0	Film
433.0	Business
438.0	Business
469.0	Technology
470.0	Politics
473.0	Business
481.0	Business
486.0	Business
490.0	Politics
495.0	Technology
510.0	Politics
519.0	Politics
523.0	Politics
533.0	Business
536.0	Business
538.0	Politics
545.0	Business
550.0	Business
551.0	Politics
557.0	Business
558.0	Business
561.0	Business
565.0	Politics
575.0	Film
583.0	Politics
589.0	Business
592.0	Business
593.0	Technology
594.0	Business
598.0	Business
599.0	Business
607.0	Business
614.0	Business
626.0	Business
627.0	Technology
634.0	Business
636.0	Business
639.0	Business
641.0	Film
643.0	Technology
650.0	Business
655.0	Technology
662.0	Film
666.0	Business
667.0	Business
673.0	Film
678.0	Film
693.0	Film
694.0	Film
696.0	Film
697.0	Politics
699.0	Business
704.0	Technology
706.0	Business
707.0	Film
709.0	Business
717.0	Technology
724.0	Business
728.0	Business
732.0	Business
733.0	Politics
741.0	Business
746.0	Technology
747.0	Business
749.0	Technology
750.0	Football
754.0	Business
756.0	Technology
768.0	Politics
769.0	Politics
774.0	Business
775.0	Technology
776.0	Politics
789.0	Technology
802.0	Politics
804.0	Politics
809.0	Politics
816.0	Politics
825.0	Business
827.0	Business
830.0	Film
837.0	Film
838.0	Film
839.0	Film
849.0	Business
854.0	Business
865.0	Business
871.0	Business
873.0	Politics
884.0	Politics
886.0	Politics
893.0	Politics
896.0	Business
898.0	Business
907.0	Politics
909.0	Politics
910.0	Politics
911.0	Business
914.0	Politics
916.0	Business
922.0	Business
925.0	Business
926.0	Business
935.0	Business
936.0	Business
946.0	Politics
952.0	Business
954.0	Business
959.0	Business
960.0	Business
961.0	Business
964.0	Business
965.0	Business
968.0	Politics
971.0	Business
972.0	Business
982.0	Politics
983.0	Technology
985.0	Business
987.0	Business
990.0	Politics
994.0	Business
1010.0	Politics
1014.0	Business
1024.0	Technology
1026.0	Business
1032.0	Business
1047.0	Business
1050.0	Business
1059.0	Business
1061.0	Business
1062.0	Business
1069.0	Business
1072.0	Business
1074.0	Business
1081.0	Business
1088.0	Technology
1090.0	Business
1093.0	Business
1097.0	Business
1100.0	Business
1102.0	Business
1105.0	Politics
1142.0	Business
1143.0	Film
1155.0	Film
1162.0	Politics
1163.0	Film
1169.0	Film
1174.0	Politics
1177.0	Technology
1178.0	Politics
1184.0	Politics
1185.0	Business
1192.0	Technology
1208.0	Politics
1209.0	Politics
1215.0	Politics
1217.0	Football
1219.0	Business
1221.0	Business
1223.0	Business
1225.0	Business
1229.0	Business
1230.0	Business
1239.0	Politics
1251.0	Politics
1265.0	Technology
1269.0	Business
1282.0	Football
1287.0	Film
1295.0	Technology
1301.0	Politics
1302.0	Politics
1306.0	Film
1310.0	Film
1314.0	Technology
1322.0	Business
1328.0	Business
1331.0	Business
1332.0	Business
1337.0	Business
1345.0	Business
1349.0	Politics
1353.0	Film
1356.0	Politics
1359.0	Film
1368.0	Technology
1371.0	Technology
1377.0	Film
1381.0	Politics
1387.0	Politics
1389.0	Film
1404.0	Politics
1411.0	Film
1413.0	Film
1425.0	Business
1428.0	Politics
1429.0	Business
1430.0	Film
1433.0	Film
1437.0	Business
1438.0	Film
1446.0	Business
1447.0	Technology
1454.0	Business
1461.0	Politics
1462.0	Politics
1463.0	Film
1466.0	Film
1469.0	Business
1475.0	Film
1485.0	Technology
1488.0	Technology
1493.0	Technology
1496.0	Film
1497.0	Film
1500.0	Politics
1502.0	Film
1508.0	Film
1509.0	Business
1518.0	Film
1522.0	Film
1524.0	Business
1527.0	Technology
1529.0	Film
1531.0	Film
1533.0	Business
1537.0	Film
1548.0	Technology
1555.0	Film
1556.0	Film
1558.0	Business
1568.0	Film
1570.0	Film
1571.0	Film
1572.0	Film
1583.0	Film
1589.0	Film
1597.0	Film
1602.0	Film
1606.0	Film
1607.0	Film
1613.0	Technology
1624.0	Film
1637.0	Film
1638.0	Film
1639.0	Film
1652.0	Film
1654.0	Film
1663.0	Politics
1675.0	Business
1695.0	Business
1703.0	Business
1704.0	Business
1705.0	Business
1709.0	Business
1714.0	Politics
1715.0	Business
1725.0	Business
1726.0	Business
1741.0	Film
1749.0	Film
1755.0	Business
1760.0	Football
1761.0	Business
1768.0	Film
1772.0	Football
1775.0	Football
1778.0	Business
1779.0	Business
1781.0	Business
1784.0	Film
1789.0	Business
1797.0	Business
1803.0	Film
1805.0	Politics
1812.0	Film
1819.0	Business
1833.0	Film
1843.0	Technology
1844.0	Politics
1845.0	Business
1860.0	Film
1864.0	Film
1873.0	Film
1878.0	Technology
1879.0	Film
1884.0	Film
1885.0	Film
1889.0	Business
1895.0	Film
1907.0	Film
1908.0	Film
1910.0	Film
1915.0	Film
1917.0	Film
1920.0	Film
1921.0	Technology
1928.0	Film
1951.0	Film
1962.0	Technology
1963.0	Politics
1964.0	Film
1965.0	Film
1967.0	Film
1968.0	Film
1972.0	Film
1981.0	Film
1985.0	Film
1987.0	Film
1988.0	Film
1990.0	Film
1991.0	Film
